001  00336 |Loss: 3.667 | Acc: 10.472% 
001  00337 |Loss: 3.663 | Acc: 10.441% 
001  00338 |Loss: 3.659 | Acc: 10.438% 
001  00339 |Loss: 3.655 | Acc: 10.444% 
001  00340 |Loss: 3.652 | Acc: 10.441% 
001  00341 |Loss: 3.648 | Acc: 10.447% 
001  00342 |Loss: 3.644 | Acc: 10.462% 
001  00343 |Loss: 3.640 | Acc: 10.441% 
001  00344 |Loss: 3.636 | Acc: 10.474% 
001  00345 |Loss: 3.634 | Acc: 10.471% 
001  00346 |Loss: 3.631 | Acc: 10.459% 
001  00347 |Loss: 3.627 | Acc: 10.474% 
001  00348 |Loss: 3.624 | Acc: 10.462% 
001  00349 |Loss: 3.620 | Acc: 10.449% 
001  00350 |Loss: 3.617 | Acc: 10.464% 
001  00351 |Loss: 3.616 | Acc: 10.443% 
001  00352 |Loss: 3.612 | Acc: 10.440% 
001  00353 |Loss: 3.609 | Acc: 10.437% 
001  00354 |Loss: 3.607 | Acc: 10.434% 
001  00355 |Loss: 3.606 | Acc: 10.431% 
001  00356 |Loss: 3.603 | Acc: 10.437% 
001  00357 |Loss: 3.601 | Acc: 10.417% 
001  00358 |Loss: 3.597 | Acc: 10.405% 
001  00359 |Loss: 3.594 | Acc: 10.420% 
001  00360 |Loss: 3.592 | Acc: 10.408% 
001  00361 |Loss: 3.588 | Acc: 10.431% 
001  00362 |Loss: 3.585 | Acc: 10.437% 
001  00363 |Loss: 3.582 | Acc: 10.425% 
001  00364 |Loss: 3.579 | Acc: 10.414% 
001  00365 |Loss: 3.576 | Acc: 10.420% 
001  00366 |Loss: 3.573 | Acc: 10.425% 
001  00367 |Loss: 3.569 | Acc: 10.431% 
001  00368 |Loss: 3.565 | Acc: 10.453% 
001  00369 |Loss: 3.562 | Acc: 10.476% 
001  00370 |Loss: 3.559 | Acc: 10.465% 
001  00371 |Loss: 3.556 | Acc: 10.462% 
001  00372 |Loss: 3.553 | Acc: 10.450% 
001  00373 |Loss: 3.550 | Acc: 10.431% 
001  00374 |Loss: 3.547 | Acc: 10.411% 
001  00375 |Loss: 3.543 | Acc: 10.433% 
001  00376 |Loss: 3.540 | Acc: 10.439% 
001  00377 |Loss: 3.537 | Acc: 10.436% 
001  00378 |Loss: 3.534 | Acc: 10.417% 
001  00379 |Loss: 3.531 | Acc: 10.389% 
001  00380 |Loss: 3.528 | Acc: 10.411% 
001  00381 |Loss: 3.525 | Acc: 10.400% 
001  00382 |Loss: 3.522 | Acc: 10.406% 
001  00383 |Loss: 3.519 | Acc: 10.395% 
001  00384 |Loss: 3.516 | Acc: 10.409% 
001  00385 |Loss: 3.513 | Acc: 10.398% 
001  00386 |Loss: 3.510 | Acc: 10.395% 
001  00387 |Loss: 3.508 | Acc: 10.401% 
001  00388 |Loss: 3.505 | Acc: 10.398% 
